id,url,price,page_number,scraped_at
1014688416,https://krisha.kz/a/show/1014688416,220000,58,2026-08-23T14:27:45+00:00
689242818,https://krisha.kz/a/show/689242818,500000,58,2026-08-23T14:27:45+00:00
1014609313,https://krisha.kz/a/show/1014609313,330000,58,2026-08-23T14:27:45+00:00
1014638141,https://krisha.kz/a/show/1014638141,360000,58,2026-08-23T14:27:45+00:00
1014712748,https://krisha.kz/a/show/1014712748,300000,58,2026-08-23T14:27:45+00:00
1014608107,https://krisha.kz/a/show/1014608107,350000,58,2026-08-23T14:27:45+00:00
1012378184,https://krisha.kz/a/show/1012378184,350000,58,2026-08-23T14:27:45+00:00
1008343695,https://krisha.kz/a/show/1008343695,520000,58,2026-08-23T14:27:45+00:00
1014620262,https://krisha.kz/a/show/1014620262,320000,58,2026-08-23T14:27:45+00:00
1014610176,https://krisha.kz/a/show/1014610176,350000,58,2026-08-23T14:27:45+00:00
1014067574,https://krisha.kz/a/show/1014067574,400000,58,2026-08-23T14:27:45+00:00
1014859789,https://krisha.kz/a/show/1014859789,400000,59,2026-08-23T14:27:47+00:00
1014622169,https://krisha.kz/a/show/1014622169,320000,59,2026-08-23T14:27:47+00:00
1015030695,https://krisha.kz/a/show/1015030695,270000,59,2026-08-23T14:27:47+00:00
685951274,https://krisha.kz/a/show/685951274,430000,59,2026-08-23T14:27:47+00:00
690040404,https://krisha.kz/a/show/690040404,350000,59,2026-08-23T14:27:47+00:00
1014000224,https://krisha.kz/a/show/1014000224,1400000,59,2026-08-23T14:27:47+00:00
1015003220,https://krisha.kz/a/show/1015003220,380000,59,2026-08-23T14:27:47+00:00
1014079311,https://krisha.kz/a/show/1014079311,270000,59,2026-08-23T14:27:47+00:00
1014275941,https://krisha.kz/a/show/1014275941,350000,59,2026-08-23T14:27:47+00:00
1015003605,https://krisha.kz/a/show/1015003605,350000,59,2026-08-23T14:27:47+00:00
1015007805,https://krisha.kz/a/show/1015007805,320000,59,2026-08-23T14:27:47+00:00
1015011187,https://krisha.kz/a/show/1015011187,320000,59,2026-08-23T14:27:47+00:00
1014790227,https://krisha.kz/a/show/1014790227,290000,59,2026-08-23T14:27:47+00:00
686501697,https://krisha.kz/a/show/686501697,325000,59,2026-08-23T14:27:47+00:00
1012624648,https://krisha.kz/a/show/1012624648,250000,59,2026-08-23T14:27:47+00:00
1005295781,https://krisha.kz/a/show/1005295781,350000,59,2026-08-23T14:27:47+00:00
1014971161,https://krisha.kz/a/show/1014971161,250000,59,2026-08-23T14:27:47+00:00
695382239,https://krisha.kz/a/show/695382239,350000,59,2026-08-23T14:27:47+00:00
1014794556,https://krisha.kz/a/show/1014794556,240000,60,2026-08-23T14:27:50+00:00
1015011502,https://krisha.kz/a/show/1015011502,220000,60,2026-08-23T14:27:50+00:00
1012433543,https://krisha.kz/a/show/1012433543,550000,60,2026-08-23T14:27:50+00:00
1014138221,https://krisha.kz/a/show/1014138221,300000,60,2026-08-23T14:27:50+00:00
1012670630,https://krisha.kz/a/show/1012670630,1200000,60,2026-08-23T14:27:50+00:00
1015012054,https://krisha.kz/a/show/1015012054,300000,60,2026-08-23T14:27:50+00:00
1010144284,https://krisha.kz/a/show/1010144284,250000,61,2026-08-23T14:27:53+00:00
1014879619,https://krisha.kz/a/show/1014879619,550000,60,2026-08-23T14:27:50+00:00
696571337,https://krisha.kz/a/show/696571337,350000,61,2026-08-23T14:27:53+00:00
1015005390,https://krisha.kz/a/show/1015005390,250000,60,2026-08-23T14:27:50+00:00
1009431419,https://krisha.kz/a/show/1009431419,300000,60,2026-08-23T14:27:50+00:00
